Creating dir `./slack_dump_pdfs/` for slack dump PDFs
11  new PDFs loaded, skipped 0
         23862625 function calls (23302544 primitive calls) in 16.103 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <attrs generated hash attr.validators._MaxLengthValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash attr.validators._MinLengthValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash attr.validators._NotValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash attr.validators._NumberValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash attr.validators._OptionalValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash attr.validators._ProvidesValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash attr.validators._SubclassOfValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash jsonschema._types.TypeChecker>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash referencing._core.Anchor>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash referencing._core.Registry>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash referencing._core.Resolved>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash referencing._core.Resolver>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash referencing._core.Resource>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash referencing._core.Retrieved>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash referencing._core.Specification>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash referencing.jsonschema.DynamicAnchor>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr._make._AndValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr._version_info.VersionInfo>:1(<module>)
